index,artist,title,medium,year,width,height,gender,artistBirthYear,acquisitionYear,url
17233,"Borofsky, Jonathan","Man with Briefcase at 2,756,805",Ink on paper,1980,0.298,0.21,Male,1942,1984,http://www.tate.org.uk/art/artworks/borofsky-man-with-briefcase-at-2756805-t03910
17234,"Buckley, Stephen",Java,"Oil paint on wood, canvas and hardboard",1980,2.007,1.981,Male,1944,1980,http://www.tate.org.uk/art/artworks/buckley-java-t03070
17235,"Rocamora, Jaume",[title not known],Screenprint on paper,1980,0.343,0.257,Male,1946,1981,http://www.tate.org.uk/art/artworks/rocamora-title-not-known-p08179
17236,"Caulfield, Patrick",Fern Pot,Screenprint on paper,1980,0.84,0.597,Male,1936,1980,http://www.tate.org.uk/art/artworks/caulfield-fern-pot-p05545
17237,"Caulfield, Patrick",Ridged Jar,Screenprint on paper,1980,0.84,0.594,Male,1936,1980,http://www.tate.org.uk/art/artworks/caulfield-ridged-jar-p05546
17238,"Caulfield, Patrick",Dressed Lobster,Screenprint on paper,1980,0.6,0.75,Male,1936,1980,http://www.tate.org.uk/art/artworks/caulfield-dressed-lobster-p05560
17239,"Christie, John",Banners No. I,Screenprint on paper,1980,0.403,0.252,Male,1945,1981,http://www.tate.org.uk/art/artworks/christie-banners-no-i-p07527
17240,"Christie, John",Check-Out Music,Screenprint on paper,1980,0.228,0.371,Male,1945,1981,http://www.tate.org.uk/art/artworks/christie-check-out-music-p07528
17241,"Christie, John",Dancers No. I,Screenprint on paper,1980,0.205,0.155,Male,1945,1981,http://www.tate.org.uk/art/artworks/christie-dancers-no-i-p07529
17242,"Christie, John",Lemonade Music,Screenprint on paper,1980,0.22,0.14,Male,1945,1981,http://www.tate.org.uk/art/artworks/christie-lemonade-music-p07530
17243,"Ciuha, Joze",Icon IX,Screenprint and brass foil on paper,1980,0.94,0.67,Male,1924,1981,http://www.tate.org.uk/art/artworks/ciuha-icon-ix-p02549
17244,"Clough, Prunella",Gate Detail,Watercolour and screenprint on paper,1980,0.484,0.573,Female,1919,1984,http://www.tate.org.uk/art/artworks/clough-gate-detail-p07918
17245,"Cohen, Bernard",Concerning the Meal,Etching on paper,1980,0.686,0.545,Male,1933,1980,http://www.tate.org.uk/art/artworks/cohen-concerning-the-meal-p05547
17246,"Cottingham, Robert",Black Girl,Lithograph on paper,1980,0.266,0.266,Male,1935,1982,http://www.tate.org.uk/art/artworks/cottingham-black-girl-p07642
17247,"Cottingham, Robert",Frankfurters,Lithograph on paper,1980,0.265,0.267,Male,1935,1982,http://www.tate.org.uk/art/artworks/cottingham-frankfurters-p07643
17248,"Cutts, Simon",Winter Fruit,Letterpress print on paper,1980,0.06,0.09,Male,1944,1982,http://www.tate.org.uk/art/artworks/cutts-winter-fruit-p08181
17249,"Dugger, John",Sports Banner,Oil paint on 6 canvases and nylon rope on aluminium rod,1980,1.22,2.005,Male,1948,1980,http://www.tate.org.uk/art/artworks/dugger-sports-banner-t03166
17250,"Frost, Sir Terry",Self-Portrait,Etching on paper,1980,0.277,0.2,Male,1915,1983,http://www.tate.org.uk/art/artworks/frost-self-portrait-p07988
17251,"Fry, Anthony",Nude X,Oil paint on canvas,1980,1.016,1.372,Male,1927,1981,http://www.tate.org.uk/art/artworks/fry-nude-x-t03282
17252,"Fulton, Hamish",Slioch Hilltop Cairn/Circling Buzzards,"2 photographs, black and white, on paper and transfer lettering",1980,1.181,0.87,Male,1946,1980,http://www.tate.org.uk/art/artworks/fulton-slioch-hilltop-cairncircling-buzzards-p07383
17253,Gilbert & George,England,"30 photographs, black and white, with dye on paper",1980,3.026,3.026,Male,1942,1981,http://www.tate.org.uk/art/artworks/gilbert-george-england-t03297
17254,"Gowing, Sir Lawrence",Portrait of Sir Norman Reid,Oil paint on canvas,1980,0.66,0.451,Male,1918,1981,http://www.tate.org.uk/art/artworks/gowing-portrait-of-sir-norman-reid-t03208
